date,GDP Growth (%),Inflation Rate (%),Unemployment Rate (%),Exchange Rate (USD)
2023-01-01,2.83350870346007,5.63566880551913,4.91657221632923,
2022-01-01,3.23802126201738,7.93092925430087,5.26071088886287,
2021-01-01,6.35008957640493,3.4754032028988,6.06444597897447,
2020-01-01,-2.87832319647211,1.9056635869553,6.60880501698705,
2019-01-01,2.67596629249958,2.21677593359912,5.59893079520961,
2018-01-01,3.28219699716972,2.43873655522937,5.76898308254956,
2017-01-01,3.45144612317307,2.25427651934813,5.90723141254145,
2016-01-01,2.81373597388477,1.60553917414213,5.97827384301346,
2015-01-01,3.12878689249369,1.44385719270808,6.00655926883703,
2014-01-01,3.13147556608587,2.35449052820358,5.96595956419962,
2013-01-01,2.87283900039763,2.65167342916577,6.10721944572915,
2012-01-01,2.69196085300733,3.72532666110646,6.159641648439,
2011-01-01,3.33628619365859,4.82239636013325,6.15688583531364,
2010-01-01,4.51743046800995,3.32634463368643,6.28633469019008,
2009-01-01,-1.34237001345186,2.86044855902674,6.41961494141816,
2008-01-01,2.05615280962685,8.94995335353387,5.83230971050102,
2007-01-01,4.37319733988785,4.81023704342912,5.77753757637344,
2006-01-01,4.46059289685221,4.26717463390264,5.97625026239581,
2005-01-01,4.0204874684196,4.10725070715931,6.22712811677286,
2004-01-01,4.4739697006049,3.51799903099596,6.3375954079904,
2003-01-01,3.09366890334553,3.02504526252236,6.49549540304053,
2002-01-01,2.31645034330785,2.90799857032207,6.42824413217503,
2001-01-01,2.03362484924874,3.83657262052543,6.20224642581375,
2000-01-01,4.53291806864662,3.43351563418767,6.12304074094227,
1999-01-01,3.58907348370219,3.04194667094533,6.28861473444324,
1998-01-01,2.84312223323255,5.09729149331441,6.17097447113532,
1997-01-01,3.95336686735597,5.55412988949405,6.02239065084773,
1996-01-01,3.58228590043393,6.5260956937258,5.99253885959213,
1995-01-01,3.09757901481413,9.07738095238091,5.93004401353698,
1994-01-01,3.34233006750591,10.2479355556119,5.80049888718587,
1993-01-01,1.84044793139411,7.14458706876256,5.55969439262019,
1992-01-01,2.0223402524078,7.63610852336974,5.29010950422846,
1991-01-01,1.21070116446037,8.99693873494331,5.13377969924987,
1990-01-01,2.72126980697942,8.06346090938833,,
1989-01-01,3.72415680094846,6.92390503711238,,
1988-01-01,4.54892724186647,7.11340652931347,,
1987-01-01,3.75340885923706,5.71011938486679,,
